County,WeekStartDate,NewPos_All,Age 0-19,Age 20-39,Age 40-59,Age 60-79,Age 80+,Positive UnkAge,dtm_updated
Klickitat County,2020-08-09,27,2,17,6,2,0,0,2020/11/08 12:47:15
Klickitat County,2020-08-16,13,2,4,5,2,0,0,2020/11/08 12:47:15
Klickitat County,2020-08-23,10,2,5,3,0,0,0,2020/11/08 12:47:15
Klickitat County,2020-09-06,5,4,1,0,0,0,0,2020/11/08 12:47:15
Klickitat County,2020-09-13,4,0,3,0,1,0,0,2020/11/08 12:47:15
Klickitat County,2020-09-20,2,0,1,1,0,0,0,2020/11/08 12:47:15
Klickitat County,2020-09-27,4,1,0,1,2,0,0,2020/11/08 12:47:15
Klickitat County,2020-10-04,5,0,2,1,2,0,0,2020/11/08 12:47:15
Klickitat County,2020-10-11,2,0,0,1,1,0,0,2020/11/08 12:47:15
Klickitat County,2020-10-18,3,0,2,0,1,0,0,2020/11/08 12:47:15
Klickitat County,2020-10-25,5,1,0,4,0,0,0,2020/11/08 12:47:15
Klickitat County,2020-11-01,6,2,1,2,1,0,0,2020/11/08 12:47:15
Lewis County,2020-03-08,3,0,1,1,0,1,0,2020/11/08 12:47:15
Lewis County,2020-03-15,10,0,2,2,4,2,0,2020/11/08 12:47:15
Lewis County,2020-03-22,4,0,1,0,2,1,0,2020/11/08 12:47:15
Lewis County,2020-03-29,2,0,0,1,1,0,0,2020/11/08 12:47:15
Lewis County,2020-04-05,3,0,1,1,1,0,0,2020/11/08 12:47:15
Lewis County,2020-04-12,1,0,1,0,0,0,0,2020/11/08 12:47:15
Lewis County,2020-04-19,5,0,0,2,3,0,0,2020/11/08 12:47:15
Lewis County,2020-04-26,1,0,0,1,0,0,0,2020/11/08 12:47:15
Lewis County,2020-05-03,1,0,0,1,0,0,0,2020/11/08 12:47:15
Lewis County,2020-05-10,4,0,1,3,0,0,0,2020/11/08 12:47:15
Lewis County,2020-05-24,2,0,1,1,0,0,0,2020/11/08 12:47:15
Lewis County,2020-06-07,5,0,1,1,2,1,0,2020/11/08 12:47:15
Lewis County,2020-06-14,18,0,11,7,0,0,0,2020/11/08 12:47:15
Lewis County,2020-06-21,23,1,7,11,4,0,0,2020/11/08 12:47:15
Lewis County,2020-06-28,19,3,6,4,5,1,0,2020/11/08 12:47:15
Lewis County,2020-07-05,26,2,6,11,5,2,0,2020/11/08 12:47:15
Lewis County,2020-07-12,29,4,9,13,2,1,0,2020/11/08 12:47:15
Lewis County,2020-07-19,29,6,18,5,0,0,0,2020/11/08 12:47:15
Lewis County,2020-07-26,25,9,11,2,2,1,0,2020/11/08 12:47:15
Lewis County,2020-08-02,40,6,16,11,3,4,0,2020/11/08 12:47:15
Lewis County,2020-08-09,53,10,22,19,1,1,0,2020/11/08 12:47:15
Lewis County,2020-08-16,28,4,13,9,0,2,0,2020/11/08 12:47:15
Lewis County,2020-08-23,25,3,10,8,2,2,0,2020/11/08 12:47:15
Lewis County,2020-08-30,56,6,28,13,8,1,0,2020/11/08 12:47:15
Lewis County,2020-09-06,44,3,21,11,8,1,0,2020/11/08 12:47:15
Lewis County,2020-09-13,37,3,10,10,6,8,0,2020/11/08 12:47:15
Lewis County,2020-09-20,79,4,20,19,24,12,0,2020/11/08 12:47:15
Lewis County,2020-09-27,44,6,9,12,13,4,0,2020/11/08 12:47:15
Lewis County,2020-10-04,34,6,5,10,11,2,0,2020/11/08 12:47:15
Lewis County,2020-10-11,41,4,13,12,10,2,0,2020/11/08 12:47:15
Lewis County,2020-10-18,45,9,15,18,2,1,0,2020/11/08 12:47:15
Lewis County,2020-10-25,39,6,14,10,9,0,0,2020/11/08 12:47:15
Lewis County,2020-11-01,16,3,2,4,6,1,0,2020/11/08 12:47:15
Lincoln County,2020-03-01,1,0,0,0,1,0,0,2020/11/08 12:47:15
Lincoln County,2020-04-05,1,0,0,0,1,0,0,2020/11/08 12:47:15
Lincoln County,2020-06-14,2,0,0,0,2,0,0,2020/11/08 12:47:15
Lincoln County,2020-07-12,3,0,1,1,1,0,0,2020/11/08 12:47:15
Lincoln County,2020-07-19,5,1,2,0,2,0,0,2020/11/08 12:47:15
Lincoln County,2020-07-26,8,2,1,3,2,0,0,2020/11/08 12:47:15
Lincoln County,2020-08-02,10,2,3,2,1,0,2,2020/11/08 12:47:15
Lincoln County,2020-08-09,1,0,0,0,1,0,0,2020/11/08 12:47:15
Lincoln County,2020-08-23,1,0,1,0,0,0,0,2020/11/08 12:47:15
Lincoln County,2020-08-30,3,0,1,2,0,0,0,2020/11/08 12:47:15
Lincoln County,2020-09-06,5,2,0,1,2,0,0,2020/11/08 12:47:15
Lincoln County,2020-09-13,3,1,0,2,0,0,0,2020/11/08 12:47:15
Lincoln County,2020-09-20,8,1,3,2,1,0,1,2020/11/08 12:47:15
Lincoln County,2020-09-27,12,3,3,4,1,0,1,2020/11/08 12:47:15
Lincoln County,2020-10-04,1,0,0,1,0,0,0,2020/11/08 12:47:15
Lincoln County,2020-10-11,8,0,0,3,5,0,0,2020/11/08 12:47:15
Lincoln County,2020-10-18,9,0,3,2,4,0,0,2020/11/08 12:47:15
Lincoln County,2020-10-25,2,0,0,2,0,0,0,2020/11/08 12:47:15
Lincoln County,2020-11-01,2,0,0,2,0,0,0,2020/11/08 12:47:15
Mason County,2020-03-01,1,0,0,0,1,0,0,2020/11/08 12:47:15
Mason County,2020-03-08,1,0,0,0,1,0,0,2020/11/08 12:47:15
Mason County,2020-03-15,7,0,1,3,2,1,0,2020/11/08 12:47:15
Mason County,2020-03-22,6,0,0,3,3,0,0,2020/11/08 12:47:15
Mason County,2020-03-29,6,1,1,2,2,0,0,2020/11/08 12:47:15
Mason County,2020-04-05,2,0,0,1,1,0,0,2020/11/08 12:47:15
Mason County,2020-04-12,3,0,0,2,0,1,0,2020/11/08 12:47:15
Mason County,2020-04-19,2,0,2,0,0,0,0,2020/11/08 12:47:15
Mason County,2020-04-26,3,0,3,0,0,0,0,2020/11/08 12:47:15
Mason County,2020-05-03,1,0,0,0,1,0,0,2020/11/08 12:47:15
Mason County,2020-05-10,3,0,1,2,0,0,0,2020/11/08 12:47:15
Mason County,2020-05-17,2,0,1,0,1,0,0,2020/11/08 12:47:15
Mason County,2020-05-24,2,0,0,2,0,0,0,2020/11/08 12:47:15
Mason County,2020-05-31,2,1,0,1,0,0,0,2020/11/08 12:47:15
Mason County,2020-06-07,3,0,0,1,2,0,0,2020/11/08 12:47:15
Mason County,2020-06-14,4,0,2,2,0,0,0,2020/11/08 12:47:15
Mason County,2020-06-21,7,0,3,4,0,0,0,2020/11/08 12:47:15
Mason County,2020-06-28,10,0,2,6,2,0,0,2020/11/08 12:47:15
Mason County,2020-07-05,16,3,4,7,2,0,0,2020/11/08 12:47:15
Mason County,2020-07-12,16,0,7,7,2,0,0,2020/11/08 12:47:15
Mason County,2020-07-19,46,5,24,14,2,1,0,2020/11/08 12:47:15
Mason County,2020-07-26,49,14,24,10,1,0,0,2020/11/08 12:47:15
Mason County,2020-08-02,53,18,27,5,3,0,0,2020/11/08 12:47:15
Mason County,2020-08-09,31,8,12,7,4,0,0,2020/11/08 12:47:15
Mason County,2020-08-16,28,4,11,6,4,3,0,2020/11/08 12:47:15
Mason County,2020-08-23,28,11,4,5,6,2,0,2020/11/08 12:47:15
Mason County,2020-08-30,17,2,7,6,2,0,0,2020/11/08 12:47:15
Mason County,2020-09-06,14,3,7,1,2,1,0,2020/11/08 12:47:15
Mason County,2020-09-13,23,3,8,2,8,2,0,2020/11/08 12:47:15
Mason County,2020-09-20,29,2,10,10,3,4,0,2020/11/08 12:47:15
Mason County,2020-09-27,44,7,7,12,13,5,0,2020/11/08 12:47:15
Mason County,2020-10-04,30,6,12,8,4,0,0,2020/11/08 12:47:15
Mason County,2020-10-11,16,4,5,3,4,0,0,2020/11/08 12:47:15
Mason County,2020-10-18,25,3,8,10,4,0,0,2020/11/08 12:47:15
Mason County,2020-10-25,21,2,7,7,4,1,0,2020/11/08 12:47:15
Mason County,2020-11-01,19,3,6,5,5,0,0,2020/11/08 12:47:15
Okanogan County,2020-03-08,3,0,0,2,1,0,0,2020/11/08 12:47:15
Okanogan County,2020-03-15,1,0,0,0,1,0,0,2020/11/08 12:47:15
Okanogan County,2020-03-22,4,1,1,0,2,0,0,2020/11/08 12:47:15
Okanogan County,2020-03-29,4,2,1,1,0,0,0,2020/11/08 12:47:15
Okanogan County,2020-04-05,2,1,0,1,0,0,0,2020/11/08 12:47:15
Okanogan County,2020-04-12,3,0,0,2,1,0,0,2020/11/08 12:47:15
Okanogan County,2020-04-19,6,0,2,2,2,0,0,2020/11/08 12:47:15
Okanogan County,2020-04-26,1,1,0,0,0,0,0,2020/11/08 12:47:15
Okanogan County,2020-05-03,11,0,7,3,1,0,0,2020/11/08 12:47:15
Okanogan County,2020-05-10,10,4,5,1,0,0,0,2020/11/08 12:47:15
Okanogan County,2020-05-17,1,1,0,0,0,0,0,2020/11/08 12:47:15
Okanogan County,2020-05-24,9,1,5,3,0,0,0,2020/11/08 12:47:15
Okanogan County,2020-05-31,12,3,3,4,2,0,0,2020/11/08 12:47:15
Okanogan County,2020-06-07,12,1,2,5,4,0,0,2020/11/08 12:47:15
Okanogan County,2020-06-14,10,0,6,0,4,0,0,2020/11/08 12:47:15
Okanogan County,2020-06-21,23,1,18,4,0,0,0,2020/11/08 12:47:15
Okanogan County,2020-06-28,72,15,37,14,5,1,0,2020/11/08 12:47:15
Okanogan County,2020-07-05,129,21,54,43,11,0,0,2020/11/08 12:47:15
Okanogan County,2020-07-12,195,37,66,66,24,2,0,2020/11/08 12:47:15
Okanogan County,2020-07-19,211,43,79,63,25,1,0,2020/11/08 12:47:15
Okanogan County,2020-07-26,125,27,50,29,16,3,0,2020/11/08 12:47:15
Okanogan County,2020-08-02,95,16,39,29,11,0,0,2020/11/08 12:47:15
Okanogan County,2020-08-09,57,6,25,12,12,2,0,2020/11/08 12:47:15
Okanogan County,2020-08-16,49,5,25,14,5,0,0,2020/11/08 12:47:15
Okanogan County,2020-08-23,27,2,11,10,4,0,0,2020/11/08 12:47:15
Okanogan County,2020-08-30,8,0,3,2,1,2,0,2020/11/08 12:47:15
Okanogan County,2020-09-06,1,1,0,0,0,0,0,2020/11/08 12:47:15
Okanogan County,2020-09-13,2,0,0,2,0,0,0,2020/11/08 12:47:15
Okanogan County,2020-09-20,5,1,2,2,0,0,0,2020/11/08 12:47:15
Okanogan County,2020-09-27,5,0,0,2,2,0,1,2020/11/08 12:47:15
Okanogan County,2020-10-04,4,1,1,1,1,0,0,2020/11/08 12:47:15
Okanogan County,2020-10-11,7,1,2,4,0,0,0,2020/11/08 12:47:15
Okanogan County,2020-10-18,14,2,7,2,2,1,0,2020/11/08 12:47:15
Okanogan County,2020-10-25,17,6,7,4,0,0,0,2020/11/08 12:47:15
Okanogan County,2020-11-01,6,1,2,3,0,0,0,2020/11/08 12:47:15
Pacific County,2020-03-29,2,0,1,0,1,0,0,2020/11/08 12:47:15
Pacific County,2020-04-05,1,0,0,1,0,0,0,2020/11/08 12:47:15
Pacific County,2020-04-19,1,0,0,0,1,0,0,2020/11/08 12:47:15
Pacific County,2020-04-26,2,0,0,2,0,0,0,2020/11/08 12:47:15
Pacific County,2020-05-03,3,0,1,2,0,0,0,2020/11/08 12:47:15
Pacific County,2020-05-31,1,0,0,1,0,0,0,2020/11/08 12:47:15
Pacific County,2020-06-07,2,0,2,0,0,0,0,2020/11/08 12:47:15
Pacific County,2020-06-21,5,2,3,0,0,0,0,2020/11/08 12:47:15
Pacific County,2020-06-28,1,0,1,0,0,0,0,2020/11/08 12:47:15
Pacific County,2020-07-12,9,1,0,3,5,0,0,2020/11/08 12:47:15
Pacific County,2020-07-19,7,0,2,1,3,1,0,2020/11/08 12:47:15
Pacific County,2020-07-26,10,3,2,1,4,0,0,2020/11/08 12:47:15
Pacific County,2020-08-02,11,2,1,2,3,3,0,2020/11/08 12:47:15
Pacific County,2020-08-09,4,0,1,1,2,0,0,2020/11/08 12:47:15
Pacific County,2020-08-23,2,0,0,1,1,0,0,2020/11/08 12:47:15
Pacific County,2020-08-30,9,4,2,2,1,0,0,2020/11/08 12:47:15
Pacific County,2020-09-06,8,1,2,2,2,1,0,2020/11/08 12:47:15
Pacific County,2020-09-13,2,0,1,0,1,0,0,2020/11/08 12:47:15
Pacific County,2020-09-20,7,4,2,0,1,0,0,2020/11/08 12:47:15
Pacific County,2020-09-27,6,1,1,2,2,0,0,2020/11/08 12:47:15
Pacific County,2020-10-04,13,2,3,4,4,0,0,2020/11/08 12:47:15
Pacific County,2020-10-11,9,2,5,1,1,0,0,2020/11/08 12:47:15
Pacific County,2020-10-18,5,3,1,0,1,0,0,2020/11/08 12:47:15
Pacific County,2020-10-25,3,0,0,2,1,0,0,2020/11/08 12:47:15
Pacific County,2020-11-01,9,2,0,3,4,0,0,2020/11/08 12:47:15
Pend Oreille County,2020-03-15,1,0,0,0,0,1,0,2020/11/08 12:47:15
Pend Oreille County,2020-04-05,1,0,0,1,0,0,0,2020/11/08 12:47:15
Pend Oreille County,2020-05-17,1,0,1,0,0,0,0,2020/11/08 12:47:15
Pend Oreille County,2020-06-21,3,0,1,0,2,0,0,2020/11/08 12:47:15
Pend Oreille County,2020-06-28,2,1,0,1,0,0,0,2020/11/08 12:47:15
Pend Oreille County,2020-07-05,9,0,5,0,4,0,0,2020/11/08 12:47:15
Pend Oreille County,2020-07-12,9,3,1,5,0,0,0,2020/11/08 12:47:15
Pend Oreille County,2020-07-19,10,4,3,2,1,0,0,2020/11/08 12:47:15
Pend Oreille County,2020-07-26,3,0,1,0,2,0,0,2020/11/08 12:47:15
Pend Oreille County,2020-08-02,7,2,1,4,0,0,0,2020/11/08 12:47:15
Pend Oreille County,2020-08-09,5,1,4,0,0,0,0,2020/11/08 12:47:15
Pend Oreille County,2020-08-16,2,0,0,1,1,0,0,2020/11/08 12:47:15
Pend Oreille County,2020-08-23,2,0,0,1,1,0,0,2020/11/08 12:47:15
Pend Oreille County,2020-08-30,1,0,0,0,1,0,0,2020/11/08 12:47:15
Pend Oreille County,2020-09-06,2,1,0,1,0,0,0,2020/11/08 12:47:15
Pend Oreille County,2020-09-13,1,0,0,1,0,0,0,2020/11/08 12:47:15
Pend Oreille County,2020-09-20,8,4,1,2,1,0,0,2020/11/08 12:47:15
Pend Oreille County,2020-09-27,28,4,6,8,7,3,0,2020/11/08 12:47:15
Pend Oreille County,2020-10-04,27,5,3,4,14,1,0,2020/11/08 12:47:15
Pend Oreille County,2020-10-11,15,0,2,7,5,1,0,2020/11/08 12:47:15
Pend Oreille County,2020-10-18,7,1,1,1,4,0,0,2020/11/08 12:47:15
Pend Oreille County,2020-10-25,11,1,2,5,2,1,0,2020/11/08 12:47:15
Pend Oreille County,2020-11-01,6,1,3,2,0,0,0,2020/11/08 12:47:15
Pierce County,2020-01-16,1,0,0,1,0,0,0,2020/11/08 12:47:15
Pierce County,2020-02-16,2,0,1,1,0,0,0,2020/11/08 12:47:15
Pierce County,2020-02-23,11,2,1,6,2,0,0,2020/11/08 12:47:15
Pierce County,2020-03-01,38,0,7,14,16,1,0,2020/11/08 12:47:15
Pierce County,2020-03-08,106,4,27,37,31,7,0,2020/11/08 12:47:15
Pierce County,2020-03-15,224,7,67,86,58,6,0,2020/11/08 12:47:15
Pierce County,2020-03-22,243,6,62,101,63,11,0,2020/11/08 12:47:15
Pierce County,2020-03-29,281,10,87,92,68,24,0,2020/11/08 12:47:15
Pierce County,2020-04-05,189,13,56,72,35,13,0,2020/11/08 12:47:15
Pierce County,2020-04-12,198,3,52,86,47,10,0,2020/11/08 12:47:15
Pierce County,2020-04-19,163,12,50,63,27,11,0,2020/11/08 12:47:15
Pierce County,2020-04-26,154,15,56,57,19,7,0,2020/11/08 12:47:15
Pierce County,2020-05-03,145,11,48,51,24,11,0,2020/11/08 12:47:15
Pierce County,2020-05-10,99,12,34,32,11,10,0,2020/11/08 12:47:15
Pierce County,2020-05-17,83,7,28,22,18,8,0,2020/11/08 12:47:15
Pierce County,2020-05-24,91,9,40,27,8,7,0,2020/11/08 12:47:15
Pierce County,2020-05-31,92,13,37,25,13,4,0,2020/11/08 12:47:15
Pierce County,2020-06-07,109,9,54,33,10,3,0,2020/11/08 12:47:15
Pierce County,2020-06-14,204,22,106,46,19,11,0,2020/11/08 12:47:15
Pierce County,2020-06-21,283,19,170,60,22,12,0,2020/11/08 12:47:15
Pierce County,2020-06-28,355,43,193,82,28,9,0,2020/11/08 12:47:15
Pierce County,2020-07-05,528,84,270,124,39,11,0,2020/11/08 12:47:15
Pierce County,2020-07-12,627,90,280,177,55,25,0,2020/11/08 12:47:15
Pierce County,2020-07-19,691,99,289,182,94,27,0,2020/11/08 12:47:15
Pierce County,2020-07-26,592,81,205,205,81,20,0,2020/11/08 12:47:15
Pierce County,2020-08-02,466,72,176,136,74,8,0,2020/11/08 12:47:15
Pierce County,2020-08-09,368,45,145,118,54,6,0,2020/11/08 12:47:15
Pierce County,2020-08-16,324,49,140,93,29,13,0,2020/11/08 12:47:15
Pierce County,2020-08-23,291,35,115,84,45,12,0,2020/11/08 12:47:15
Pierce County,2020-08-30,251,34,104,64,38,11,0,2020/11/08 12:47:15
Pierce County,2020-09-06,219,24,109,50,29,7,0,2020/11/08 12:47:15
Pierce County,2020-09-13,307,43,114,99,38,13,0,2020/11/08 12:47:15
Pierce County,2020-09-20,371,64,151,102,46,8,0,2020/11/08 12:47:15
Pierce County,2020-09-27,394,57,159,122,46,9,1,2020/11/08 12:47:15
Pierce County,2020-10-04,500,59,201,163,64,13,0,2020/11/08 12:47:15
Pierce County,2020-10-11,478,98,175,129,55,21,0,2020/11/08 12:47:15
Pierce County,2020-10-18,590,96,220,168,79,27,0,2020/11/08 12:47:15
Pierce County,2020-10-25,740,109,294,212,95,30,0,2020/11/08 12:47:15
Pierce County,2020-11-01,755,110,304,231,94,16,0,2020/11/08 12:47:15
San Juan County,2020-03-08,1,0,0,1,0,0,0,2020/11/08 12:47:15
San Juan County,2020-03-15,3,0,0,2,1,0,0,2020/11/08 12:47:15
San Juan County,2020-03-22,4,0,0,3,1,0,0,2020/11/08 12:47:15
San Juan County,2020-03-29,5,0,0,3,1,1,0,2020/11/08 12:47:15
San Juan County,2020-04-05,1,1,0,0,0,0,0,2020/11/08 12:47:15
San Juan County,2020-04-12,1,0,0,1,0,0,0,2020/11/08 12:47:15
San Juan County,2020-05-31,1,0,1,0,0,0,0,2020/11/08 12:47:15
San Juan County,2020-06-14,3,1,1,0,0,1,0,2020/11/08 12:47:15
San Juan County,2020-06-28,2,0,1,0,1,0,0,2020/11/08 12:47:15
San Juan County,2020-07-05,2,0,2,0,0,0,0,2020/11/08 12:47:15
San Juan County,2020-07-12,4,0,0,4,0,0,0,2020/11/08 12:47:15
San Juan County,2020-07-19,1,0,0,0,1,0,0,2020/11/08 12:47:15
San Juan County,2020-08-09,1,0,0,0,1,0,0,2020/11/08 12:47:15
San Juan County,2020-10-11,3,0,0,0,3,0,0,2020/11/08 12:47:15
San Juan County,2020-10-18,2,0,0,1,1,0,0,2020/11/08 12:47:15
San Juan County,2020-10-25,2,0,0,1,1,0,0,2020/11/08 12:47:15
San Juan County,2020-11-01,3,0,0,1,2,0,0,2020/11/08 12:47:15
Skagit County,2020-02-16,1,0,0,1,0,0,0,2020/11/08 12:47:15
Skagit County,2020-02-23,1,0,1,0,0,0,0,2020/11/08 12:47:15
Skagit County,2020-03-01,8,0,3,2,2,1,0,2020/11/08 12:47:15
Skagit County,2020-03-08,43,1,8,11,20,3,0,2020/11/08 12:47:15
Skagit County,2020-03-15,49,3,10,20,13,3,0,2020/11/08 12:47:15
Skagit County,2020-03-22,43,3,13,13,9,5,0,2020/11/08 12:47:15
Skagit County,2020-03-29,41,0,7,12,14,8,0,2020/11/08 12:47:15
Skagit County,2020-04-05,44,3,13,21,7,0,0,2020/11/08 12:47:15
Skagit County,2020-04-12,53,4,17,12,16,4,0,2020/11/08 12:47:15
Skagit County,2020-04-19,68,10,25,26,5,2,0,2020/11/08 12:47:15
Skagit County,2020-04-26,42,7,19,13,3,0,0,2020/11/08 12:47:15
Skagit County,2020-05-03,26,1,9,15,0,1,0,2020/11/08 12:47:15
Skagit County,2020-05-10,11,4,2,3,2,0,0,2020/11/08 12:47:15
Skagit County,2020-05-17,2,0,2,0,0,0,0,2020/11/08 12:47:15
Skagit County,2020-05-24,13,2,7,4,0,0,0,2020/11/08 12:47:15
Skagit County,2020-05-31,11,3,5,3,0,0,0,2020/11/08 12:47:15
Skagit County,2020-06-07,20,1,8,8,3,0,0,2020/11/08 12:47:15
Skagit County,2020-06-14,20,5,11,4,0,0,0,2020/11/08 12:47:15
Skagit County,2020-06-21,33,4,13,13,3,0,0,2020/11/08 12:47:15
Skagit County,2020-06-28,55,10,22,13,3,7,0,2020/11/08 12:47:15
Skagit County,2020-07-05,71,14,28,13,12,4,0,2020/11/08 12:47:15
Skagit County,2020-07-12,66,11,19,20,11,5,0,2020/11/08 12:47:15
Skagit County,2020-07-19,60,9,27,15,9,0,0,2020/11/08 12:47:15
Skagit County,2020-07-26,75,14,27,21,10,3,0,2020/11/08 12:47:15
Skagit County,2020-08-02,61,12,21,13,14,1,0,2020/11/08 12:47:15
Skagit County,2020-08-09,44,11,19,12,1,1,0,2020/11/08 12:47:15
Skagit County,2020-08-16,39,8,18,10,2,1,0,2020/11/08 12:47:15
Skagit County,2020-08-23,35,14,10,8,2,1,0,2020/11/08 12:47:15
Skagit County,2020-08-30,21,3,9,4,5,0,0,2020/11/08 12:47:15
Skagit County,2020-09-06,17,3,5,4,5,0,0,2020/11/08 12:47:15
Skagit County,2020-09-13,22,3,11,4,4,0,0,2020/11/08 12:47:15
Skagit County,2020-09-20,21,1,9,5,6,0,0,2020/11/08 12:47:15
Skagit County,2020-09-27,35,8,12,10,5,0,0,2020/11/08 12:47:15
Skagit County,2020-10-04,33,8,12,5,3,5,0,2020/11/08 12:47:15
Skagit County,2020-10-11,39,5,15,9,9,1,0,2020/11/08 12:47:15
Skagit County,2020-10-18,37,5,13,14,4,1,0,2020/11/08 12:47:15
Skagit County,2020-10-25,66,10,17,22,16,1,0,2020/11/08 12:47:15
Skagit County,2020-11-01,76,12,36,23,4,1,0,2020/11/08 12:47:15
Skamania County,2020-03-22,2,0,0,1,1,0,0,2020/11/08 12:47:15
Skamania County,2020-04-05,1,0,0,0,1,0,0,2020/11/08 12:47:15
Skamania County,2020-06-14,1,0,1,0,0,0,0,2020/11/08 12:47:15
Skamania County,2020-06-21,6,0,1,2,2,1,0,2020/11/08 12:47:15
Skamania County,2020-06-28,13,3,6,2,2,0,0,2020/11/08 12:47:15
Skamania County,2020-07-05,20,4,3,9,3,1,0,2020/11/08 12:47:15
Skamania County,2020-07-12,4,1,0,3,0,0,0,2020/11/08 12:47:15
Skamania County,2020-07-19,4,2,0,1,1,0,0,2020/11/08 12:47:15
Skamania County,2020-07-26,4,1,0,1,1,1,0,2020/11/08 12:47:15
Skamania County,2020-08-02,2,0,0,1,1,0,0,2020/11/08 12:47:15
Skamania County,2020-08-09,1,0,1,0,0,0,0,2020/11/08 12:47:15
Skamania County,2020-08-30,2,0,1,1,0,0,0,2020/11/08 12:47:15
Skamania County,2020-09-13,3,1,2,0,0,0,0,2020/11/08 12:47:15
Skamania County,2020-09-20,1,0,1,0,0,0,0,2020/11/08 12:47:15
Skamania County,2020-10-04,2,0,0,2,0,0,0,2020/11/08 12:47:15
Skamania County,2020-10-11,6,3,0,3,0,0,0,2020/11/08 12:47:15
Skamania County,2020-10-18,1,0,0,1,0,0,0,2020/11/08 12:47:15
Skamania County,2020-11-01,1,0,1,0,0,0,0,2020/11/08 12:47:15
Snohomish County,2020-01-16,1,0,1,0,0,0,0,2020/11/08 12:47:15
Snohomish County,2020-01-26,1,0,1,0,0,0,0,2020/11/08 12:47:15
Snohomish County,2020-02-02,6,0,1,2,1,2,0,2020/11/08 12:47:15
Snohomish County,2020-02-09,4,0,1,2,1,0,0,2020/11/08 12:47:15
Snohomish County,2020-02-16,20,1,3,9,6,1,0,2020/11/08 12:47:15
Snohomish County,2020-02-23,52,1,11,16,17,7,0,2020/11/08 12:47:15
Snohomish County,2020-03-01,202,4,37,69,69,22,1,2020/11/08 12:47:15
Snohomish County,2020-03-08,344,5,85,142,85,27,0,2020/11/08 12:47:15
Snohomish County,2020-03-15,497,6,159,192,115,25,0,2020/11/08 12:47:15
Snohomish County,2020-03-22,428,16,145,167,78,22,0,2020/11/08 12:47:15
Snohomish County,2020-03-29,301,15,101,98,54,33,0,2020/11/08 12:47:15
Snohomish County,2020-04-05,220,9,72,82,42,15,0,2020/11/08 12:47:15
Snohomish County,2020-04-12,202,16,62,55,43,26,0,2020/11/08 12:47:15
Snohomish County,2020-04-19,196,10,58,73,29,26,0,2020/11/08 12:47:15
Snohomish County,2020-04-26,186,14,57,59,27,29,0,2020/11/08 12:47:15
Snohomish County,2020-05-03,114,6,43,35,24,6,0,2020/11/08 12:47:15
Snohomish County,2020-05-10,99,9,34,22,12,22,0,2020/11/08 12:47:15
Snohomish County,2020-05-17,96,7,28,25,21,15,0,2020/11/08 12:47:15
Snohomish County,2020-05-24,60,7,21,20,12,0,0,2020/11/08 12:47:15
